Quarter,Year,balenciaga,gucci,bottega veneta,saint laurent,louis vuitton,dior,fendi,jw anderson,loewe,off-white,prada,miu miu
1,2019,3,2,None,10,None,None,5,None,None,1,6,None
2,2019,3,1,None,10,None,None,7,None,None,2,5,None
3,2019,2,3,16,9,None,None,7,None,20,1,5,None
4,2019,3,2,14,9,None,None,6,None,20,1,7,None
1,2020,2,4,13,9,None,None,7,None,18,1,5,None
2,2020,4,3,10,6,None,None,9,None,16,2,5,None
3,2020,5,1,9,8,None,None,6,None,15,2,4,None
4,2020,2,1,7,6,None,None,10,None,15,4,5,None
1,2021,4,1,8,9,7,3,13,None,16,10,6,None
2,2021,6,1,8,9,4,2,11,None,16,None,5,None
3,2021,1,2,7,10,5,3,9,None,15,None,4,None
4,2021,1,2,10,8,4,6,7,None,14,None,3,20
1,2022,1,2,8,18,3,6,9,None,13,11,4,10
2,2022,2,1,17,16,5,6,8,None,14,19,3,7
3,2022,4,1,11,13,9,6,7,None,14,20,2,5
4,2022,11,2,6,10,15,8,14,None,7,None,1,4
1,2023,18,9,6,10,13,11,16,20,5,None,1,2
2,2023,16,9,5,7,11,10,19,20,1,None,2,4
3,2023,14,12,4,6,16,13,18,19,2,None,3,1
4,2023,12,11,4,6,16,15,20,19,3,None,1,2
