,time,LVMH,Kering,Prada
0,2024-01-01,833.00000,41.20000,6.19000
1,2023-12-01,813.81000,44.24000,5.47000
2,2023-11-01,768.40002,43.01000,5.40000
3,2023-10-01,717.39001,40.44000,5.90000
4,2023-09-01,759.85999,45.43000,5.65000
5,2023-08-01,848.29999,53.60000,6.60000
6,2023-07-01,933.59998,57.45000,6.87000
7,2023-06-01,945.00000,55.35000,6.35000
8,2023-05-01,875.00000,53.38000,6.54000
9,2023-04-01,960.79999,63.20000,7.25000
10,2023-03-01,918.50000,65.14000,6.96000
11,2023-02-01,835.00000,58.76000,6.89000
12,2023-01-01,873.38000,62.47000,6.45000
13,2022-12-01,731.67999,50.66000,5.50000
14,2022-11-01,758.48999,59.63000,5.55000
15,2022-10-01,656.50000,45.86000,4.40000
16,2022-09-01,589.10999,44.16000,4.46000
17,2022-08-01,648.90997,50.23000,5.14000
18,2022-07-01,696.63000,57.17000,5.91000
19,2022-06-01,608.48999,51.51000,5.41000
20,2022-05-01,648.23999,54.51000,5.99000
21,2022-04-01,645.76001,52.38000,5.97000
22,2022-03-01,719.51001,63.21000,6.15000
23,2022-02-01,729.00000,70.22000,6.12000
24,2022-01-01,818.87000,74.46000,5.93000
25,2021-12-01,825.08002,80.51000,6.29000
26,2021-11-01,784.50000,77.35000,6.11000
27,2021-10-01,784.08002,75.27000,6.29000
28,2021-09-01,716.20001,71.35000,5.40000
29,2021-08-01,740.88000,79.51000,5.98000
30,2021-07-01,814.09998,89.71000,6.58000
31,2021-06-01,790.08002,87.66000,7.67000
32,2021-05-01,805.00000,91.71000,6.76000
33,2021-04-01,757.50000,80.11000,6.27000
34,2021-03-01,668.75000,69.03000,6.11000
35,2021-02-01,642.00000,63.29000,6.39000
36,2021-01-01,604.70001,65.72000,6.13000
37,2020-12-01,626.00000,72.45000,6.90000
38,2020-11-01,578.54999,72.15000,5.15000
39,2020-10-01,466.04001,60.25000,4.61000
40,2020-09-01,473.00000,66.54000,4.06000
41,2020-08-01,472.00000,61.73000,4.06000
42,2020-07-01,430.00000,56.86000,3.43000
43,2020-06-01,441.00000,54.85000,3.26000
44,2020-05-01,418.56000,52.58000,3.08000
45,2020-04-01,392.50000,50.58000,3.23000
46,2020-03-01,373.89999,51.87000,2.50000
47,2020-02-01,413.50000,56.40000,3.28000
48,2020-01-01,435.00000,61.05000,3.99000
49,2019-12-01,466.79999,65.36000,3.50000
50,2019-11-01,447.75000,60.23000,3.31000
51,2019-10-01,428.37000,56.99000,2.95000
52,2019-09-01,398.59000,50.90000,3.30000
53,2019-08-01,399.50000,48.57000,2.86000
54,2019-07-01,418.00000,51.64000,3.16000
55,2019-06-01,424.95001,59.01000,2.80000
56,2019-05-01,375.60001,51.77000,2.77000
57,2019-04-01,393.76001,58.73000,2.95000
58,2019-03-01,368.75000,57.38000,3.00000
59,2019-02-01,343.56000,54.54000,3.37000
60,2019-01-01,321.00000,50.19000,3.11000
